1,英雄之旅,你所不知道的事,将16个角色好感等级提升至10级。
2,英雄之旅,大地的馈赠,获取800次「藏金之花」或「启示之花」的馈藏。
3,至冬国不相信眼泪·第一辑,追求极致,在「说到做到！」中完美完成查耶维奇的所有委托。
4,至冬国不相信眼泪·第一辑,有一说一,在「来自冬天的故事」中探听到所有关于至冬国的情报。
5,岩港往事·第一辑,帝君故事,搜集到「岩游记」中所有有关岩王帝君的故事。
6,天地万象,哎呀！海盗！,陪璐璐、阿飞与小蒙各玩一次海盗游戏。
7,天地万象,「知天命…」,在「好兆头」中，帮助志华找到五个爱情运来临的征兆。
8,天地万象,过量的思念,完成五次「愿风带走思念」。
9,天地万象,时也运也,一次就选中了最高价值的璞石。
10,天地万象,「您好，亲爱的爸爸…」,了解提米的故事。
11,天地万象,学者与「学者」,完成「『遗落』的文物」与「『夺宝』小行动」。
12,天地万象,故人久未归,完成「久久望故人」任务。
13,天地万象,这本小说真厉害！,偷看常九爷的书稿。
14,天地万象,「…而尽人事。」,破坏了四种爱情运来临的征兆。
15,稻妻·雷与永恒的群岛·其之一,隽永如电,将稻妻的七天神像供奉至满级。
16,稻妻·雷与永恒的群岛·其之一,神篱凭代,将「神樱眷顾」等级提升至满级。
17,世外洞天·第三辑,我们需要更多作物！,在「贵本之道-『玄此玉田』」中收获800个采集物。
18,世外洞天·第三辑,花开之洞天,在「贵本之道-『薿此芝田』」中收获200个采集物。
19,世外洞天·第三辑,花开之洞天,在「贵本之道-『薿此芝田』」中收获800个采集物。
20,世外洞天·第三辑,采集时间到！,在「贵本之道-『楚此渚田』」中收获200个采集物。
21,世外洞天·第三辑,采集时间到！,在「贵本之道-『楚此渚田』」中收获800个采集物。
22,天地万象,妖鬼狂言百物语,集齐全套《鹮巷物语》。
23,天地万象,布武雷国,稻妻的声望等级达到8级。
24,天地万象,瞳孔中的伪装者,帮助珊瑚和龙二破获案件。
25,天地万象,真相只有一个…？,见证龙二的故事。
26,天地万象,双人餐行,帮助旭东和龟井宗久各完成一次烹饪。
27,天地万象,编辑部的一己之见,帮助阿茂和顺吉回到正确的创作轨道。
28,天地万象,同心训练家？,协助朝仓进行5次训练。
29,提瓦特钓鱼指南·第一辑,通通400铃,成功钓鱼500次。
30,提瓦特钓鱼指南·第一辑,通通400铃,成功钓鱼2000次。
31,提瓦特钓鱼指南·第一辑,渔民杀机,从钓鱼协会处购买一根鱼竿。
32,天地万象,如愿以偿,请小卷婆婆占卜五次，并获得理想的结果。
33,天地万象,云中的猫,和「浅濑神社代宫司」寝子一起，见证某件迟来的「好事」。
34,天地万象,猫的赠礼,在清籁岛上为小猫喂食，并获得它们的好感。
35,天地万象,A Kill without Water,不击败任何「水滴」的情况下（无相之水恢复时除外），击败无相之水。
36,天地万象,雷音坠落,击败飞翔的雷音权现。
37,天地万象,红莲冰河与红莲魔女,在不破坏任何「炎之心」与「霜之眼」的情况下，击败「女士」。
38,天地万象,至少有了个结局,听顺吉讲述完他所构思的故事。
39,天地万象,她和她的猫,陪寝子前往影向山，寻找「阿响」的痕迹。
